01	a Korean man in his early 30s, short black hair, clean-shaven, slim build driving, view from inside the car at a congested city intersection at dusk, long line of tail lights ahead, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	wide view of a packed urban intersection in Korea, cars filling the far side of the crossing, gridlock at dusk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build leaning out of a car window behind, angry shouting expression, headlights glare, night city street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	close-up of a sedan stopped precisely behind a white stop line on asphalt, green traffic light glowing above, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	close-up of a hand holding a plain white official envelope over a car steering wheel, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting calmly in the driver seat, hands on the wheel, looking straight ahead, evening light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	a car swerving out of a lane into the next lane at a busy intersection, motion blur, night, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a single car stranded in the middle of a wide intersection while cross traffic flows around it, night, overhead view, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a tall grey traffic enforcement camera pole standing over a city intersection, dusk sky, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	extreme close-up of a road surveillance camera lens housing, rain droplets, cold metal texture, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build in a driver seat with both hands raised in frustrated disbelief, night city lights through windshield, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	close-up of hands pulling a plain envelope out of a residential mailbox, morning light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
