01	a narrow Korean alley exit onto a main road, parked cars and low buildings, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	an electric kick scooter lying tipped over on asphalt beside a car front bumper, daytime street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his early 30s, short black hair, clean-shaven, slim build crouching next to a fallen electric scooter looking concerned, city street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing and shouting angrily on a street beside a fallen scooter, arms out, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	close-up of an electric kick scooter handlebar and deck on asphalt, scratched, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	close-up of a plastic driver license card held between two fingers, blurred street background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	a car dashcam mounted on a windshield seen from inside the car, city street ahead, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a Korean man in his early 30s, short black hair, clean-shaven, slim build on a phone call standing beside his car on a street, calm expression, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a police officer in uniform standing beside a parked patrol car on a Korean street, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	close-up of an unworn bicycle helmet sitting alone on asphalt, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a red traffic light glowing against a grey sky, low angle close-up, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build sitting on a curb with his head down, scooter beside him, afternoon light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
