01	Exterior of a small Korean cafe storefront on a commercial street at dusk, warm light inside, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup as a cafe owner in an apron wiping a counter in her cozy cafe, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build as a building owner in a golf shirt standing in the cafe doorway with a smug expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	Close-up of a cafe interior with wooden furniture and pendant lights, empty, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup in an apron sitting at a cafe table reading a law book with a determined face, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of a calculator on a counter next to a lease contract, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of a hand writing a number on a notepad next to a coffee cup, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Close-up of a hand dropping a white envelope into a red Korean post box, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of two hands signing a contract on a cafe table, coffee cups beside, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build in a golf shirt looking flustered while holding papers outside the cafe, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
