01	close-up of a Korean man in his early 30s, short black hair, clean-shaven, slim build in a driver seat holding a smartphone low near the steering wheel, city traffic light glow, night, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a red traffic light seen through a windshield at night, rain flecks, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build in a driver seat arguing with an irritated face, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a line of cars stopped at an intersection seen from behind, dusk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	close-up of a police officer's hand holding a citation pad, street daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	close-up of an open thick law book on a wooden desk with a pen resting on the page, warm reading lamp, shallow focus, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of a plain printed notice sheet on a desk beside a calculator, overhead light, top-down, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	close-up of a smartphone face-down on a car center console, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a car navigation phone mounted on a windshield holder, road blurred ahead, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	close-up of a driver's hand on a steering wheel with a bluetooth earpiece visible, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a driver license card lying on a desk beside a pen, overhead light, close-up, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	an empty city intersection at night with traffic lights, long exposure, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	close-up of a bank transfer screen blurred on a smartphone held in a hand, blurred indoor background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
14	a Korean man in his early 30s, short black hair, clean-shaven, slim build driving with both hands on the wheel looking ahead, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
