01	An empty Korean restaurant hall with tables set for a large group, 30 place settings, warm evening light, no people, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build as a restaurant owner in an apron at dawn marinating a large tray of beef in a kitchen, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his early 30s, short black hair, clean-shaven, slim build in a suit at an office desk on the phone with a careless shrug, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	Close-up of a restaurant owner's hand holding a stack of receipts next to a calculator, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build in an apron looking calmly at his smartphone in the restaurant kitchen, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of a smartphone on a wooden counter showing a chat app bubble icon, restaurant background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of a printed official document with a yellow highlighted line on a desk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Korean banknotes fanned out on a restaurant counter next to a receipt, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a hand dropping a white envelope into a red Korean post box on a street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Close-up of a smartphone in a man's hand showing a big green checkmark icon, bright background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
