01	two damaged cars stopped at an angle on a Korean city road after a collision, crumpled front bumpers, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean man in his early 30s, short black hair, clean-shaven, slim build crouching beside a scratched car door inspecting the damage, worried expression, parking lot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting at a kitchen table holding a smartphone to his ear, papers spread out, warm indoor light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup wearing a headset in a bright office cubicle, neutral professional expression, speaking, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	close-up of a stack of plain white legal documents on a dark wooden desk, reading glasses beside them, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a person's hands turning a page of a thick document under a desk lamp at night, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of a calculator and a pen on a desk beside folded papers, warm lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a Korean man in his early 30s, short black hair, clean-shaven, slim build typing on a laptop at a home desk at night, focused expression, blue screen glow on face, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	close-up of a smartphone screen showing a blank banking app interface in a hand, indoor light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	an auto repair shop bay in Korea with a sedan lifted, mechanic tools in the foreground, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean man in his early 30s, short black hair, clean-shaven, slim build standing beside his repaired car in a sunlit parking lot, relieved expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his early 30s, short black hair, clean-shaven, slim build and a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup sitting on a sofa looking at a phone together, living room, warm evening light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
