01	a large outdoor parking lot filled with rows of brand new cars waiting for delivery, aerial view, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting at a dealership desk looking at a contract, disappointed expression, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	close-up of a car charging port on a modern electric vehicle, cable plugged in, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a row of electric vehicle chargers in an underground parking garage, empty bays, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	two modern electric SUVs parked side by side in a showroom, clean lighting, no badges, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup shrugging with a puzzled expression in a car showroom, hands open, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of a stack of government subsidy application documents on a desk, blank paper, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	an official municipal office counter with a queue rail, daytime, empty, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a wall calendar with several months visible, blank squares, office wall, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	the interior of a modern car assembly plant with robotic arms and a moving line, industrial light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a long line of freshly built sedans parked in a factory yard, overcast day, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his early 30s, short black hair, clean-shaven, slim build shaking hands with a salesperson in a car showroom, both standing, bright light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	close-up of a car key fob resting on a signed contract on a desk, warm light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
