01	Exterior of a Korean private academy building at night with lit classroom windows, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean man in his early 30s, short black hair, clean-shaven, slim build in a shirt standing at an academy front desk holding a receipt, polite but troubled face, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build as an academy director in a cardigan behind a desk pointing at a contract with a smug face, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting on a bus reading on his smartphone with a thoughtful expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	Close-up of an open law book with a finger pointing at a highlighted line, warm light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of a hand writing fractions on a whiteboard with a marker, classroom, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Korean banknotes stacked on a desk next to a calculator, bright light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Close-up of a signed contract on a desk with a red pen crossing out a line, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build as an academy director looking anxious on the phone in an empty classroom, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Close-up of a smartphone in a man's hand showing a big green checkmark icon, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
