01	two cars with minor rear-end damage stopped on a Korean road, hazard lights on, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup in a neck brace sitting on a hospital bed, tired expression, bright clinic room, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting across a desk from an insurance agent, papers between them, office light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	close-up of a hand holding a pen hovering over a blank settlement document on a desk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a courthouse exterior with stone steps and columns in Korea, overcast daytime, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	close-up of a wooden gavel resting on a desk in a quiet room, dramatic side light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	stacks of thick case files piled on a lawyer's desk, dim office, evening, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a bar chart drawn on a whiteboard with a marker, abstract rising bars, no text, office, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a long empty hospital corridor with fluorescent lights, someone walking far away, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	close-up of a calendar page on a wall with days marked, soft daylight, no text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting alone on a hospital waiting room chair looking at the floor, exhausted, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	close-up of two hands shaking over a desk with documents, office setting, warm light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup walking out of a hospital entrance with a small bag, late afternoon light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
