01	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup sitting in a used sedan driver seat with the window fogged, rain streaking the glass, frowning and sniffing the air, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	close-up of a car dashboard instrument cluster with warning lights lit up, dark interior, rain on windshield, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing in a used car lot office doorway with arms crossed, dismissive expression, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	close-up of hands holding a plain printed inspection document sheet over a car hood, overcast daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup crouching beside her car in a rainy parking lot looking defeated, umbrella on the ground, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup at a home desk at night using a laptop, focused expression, warm desk lamp, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	extreme close-up of damp carpet being lifted from a car floor showing water stains and silt, flashlight beam, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	close-up of an open thick law book on a wooden desk beside reading glasses, warm lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a used car lot at dusk with rows of parked sedans under overhead lamps, no people, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	close-up of a car door sill with a faint waterline mark and rust, macro detail, natural light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup talking on a phone in a living room with a serious face, afternoon window light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	two hands exchanging a plain document folder across an office desk, shallow focus, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	close-up of a bank transfer confirmation on a smartphone screen held in a hand, blurred cafe background, screen shows only blurred shapes, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
14	an empty car interior with doors open airing out in a sunny outdoor lot, dust motes in sunlight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
15	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup and a Korean man in his early 30s, short black hair, clean-shaven, slim build standing in a used car lot looking at a sedan together, backs to camera, golden hour, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
