01	Rear view of a dark red compact car parked blocking a narrow residential alley in a Korean neighborhood, brick wall and green fence beside it, a blank white sheet of paper taped over the rear license plate area, late afternoon light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	Extreme close-up of a blank white handwritten-looking note taped flat over the rear license plate of a dark red car, edges curling slightly, plate completely hidden behind the paper, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build crouching behind his parked car in an alley, pressing a blank sheet of paper onto the rear of the car with strips of tape, focused expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing beside his illegally parked car with arms crossed, chin raised, confrontational expression, narrow alley background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing on an alley sidewalk holding up a smartphone to photograph a badly parked car, annoyed expression, morning light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of the rear of a dark red car where a white paper covers the license plate, only the left edge of the metal plate visible, shot from a low angle on a narrow street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of an open Korean law statute book on a desk with a magnifying glass resting on the page, warm desk lamp light, blurred pages, no readable text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Flat lay of three stacked official-looking envelopes and a wooden judge gavel on a grey desk, cold morning light, no readable text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a pair of steel handcuffs resting on a wooden courtroom bench with dramatic side lighting, shallow focus, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Close-up of a yellow parking violation notice slipped under a car windshield wiper on a quiet Korean residential street, blank paper, morning light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build sitting on a sofa at home staring at an opened envelope in his hands, shocked and pale expression, evening interior light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build sitting at a kitchen table with both hands pressed to his forehead, crumpled paper on the table in front of him, defeated posture, dim interior, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	Wide shot of a tidy Korean residential alley at dusk with cars parked neatly inside marked lines, warm street lamps, a neighbor walking a small dog in the distance, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
