01	A gasoline sedan parked in a green-painted electric vehicle charging bay in an underground apartment garage at night, charger beside it, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	Close-up of an electric vehicle charging station with two ports in an underground garage, one blocked by a sedan, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing next to her sedan in a garage with arms crossed and an annoyed smug expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean man in his early 30s, short black hair, clean-shaven, slim build in a jacket driving at night looking tired, dashboard glow, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean man in his early 30s, short black hair, clean-shaven, slim build calmly holding up a smartphone to photograph a parked car in a garage, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of a green electric vehicle charging bay floor marking with a charging cable, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of a smartphone screen showing a camera viewfinder aimed at a parked car, garage, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Close-up of a hand holding a smartphone taking a photo, timestamp style overlay avoided, garage at night, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of several white official envelopes stuffed in an apartment mailbox, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup holding a stack of envelopes with a shocked face at a mailbox, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
