01	close-up of a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting in a car driver seat holding a printed bill in both hands, shocked expression, daylight through windshield, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	extreme close-up of hands holding a plain white printed notice sheet on a car steering wheel, blurred dashboard behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build leaning on a car door in an outdoor parking lot, talking casually with a dismissive shrug, late afternoon, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a small stack of plain white envelopes on a hallway shoe cabinet by an apartment front door, dim indoor light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	interior view from the back seat of a car passing through a highway toll gate lane at dusk, a Korean man in his early 30s, short black hair, clean-shaven, slim build driving, motion blur, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting at a kitchen table at night counting through a spread of plain paper notices, desk lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of an open law book page on a wooden desk with a pen resting on it, warm reading lamp, shallow focus, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a desk calendar on an office table with several days circled in red pen, morning window light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	wide shot of a Korean expressway at rush hour seen from an overpass, dense traffic, hazy evening light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a stack of paper documents and a calculator on a grey office desk, overhead fluorescent light, top-down view, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	close-up of a car license plate area on a parked sedan in a dim underground parking lot, low angle, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his early 30s, short black hair, clean-shaven, slim build standing alone in an underground parking lot looking at his phone with a stunned face, harsh overhead lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build sitting on a sofa at home opening an official looking envelope, face turned away from camera, evening lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
14	an empty highway toll gate lane photographed head on at night, glowing lamps, no vehicles, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
15	a Korean man in his early 30s, short black hair, clean-shaven, slim build and a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing beside a parked car in a residential street at dusk, talking seriously, backs partly to camera, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
