01	a wheelchair user seen from behind beside a car in an underground apartment parking lot, unable to open the door, overhead lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	wide shot of an underground parking lot showing a car parked tightly alongside another car blocking the gap, harsh fluorescent light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing near parked cars in an underground garage with an annoyed defensive expression, arms out, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	close-up of a car dashboard through a windshield with no contact note visible, empty, dim garage light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	an apartment management office desk with an intercom microphone, empty chair, daytime window light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	close-up of hands holding a smartphone taking a photo of a parked car in a garage, screen blurred, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of an open law book on a desk with a pen and reading glasses, warm lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	floor-level view of a blue painted accessible parking space marking in an underground garage, empty, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a plain official notice paper on a desk beside a calculator, overhead office light, top-down, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	wide angle of two cars parked very close together in a dim underground parking lot, low angle, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing in a parking garage looking at her phone with a surprised expression, overhead light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	an aerial-style wide view of a large outdoor parking lot filled with cars, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	close-up of a smartphone in a hand held up in a parking garage, blurred cars behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
14	a wheelchair user seen from behind smoothly entering a car with the door fully open, sunlight from garage entrance, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
15	wide shot of an empty parking space with plenty of room on both sides in an underground garage, calm lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
