01	a damaged sedan stopped on a highway shoulder at dusk with hazard lights on, tow truck approaching in the distance, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	close-up of hands holding a printed bill at a kitchen table, shocked posture, overhead light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build in a work jacket standing beside a tow truck gesturing while talking, roadside daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	close-up of a car being lifted by a tow truck hook on a roadside, low angle, evening light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting on a guardrail by a highway shoulder with his head down, dusk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean man in his early 30s, short black hair, clean-shaven, slim build at a home desk searching through papers with a focused expression, night desk lamp, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of an open thick law book on a wooden desk with a pen resting on the page, warm lamp, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	close-up of a blank printed form and a pen on an office desk, top-down, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a tow truck parked on a highway shoulder at night with amber lights, wide shot, no people, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	close-up of a plain itemized paper invoice on a desk beside a calculator, top-down, overhead light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing in a living room looking at a document with a startled face, afternoon light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a row of tow trucks parked in an outdoor yard during the day, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	close-up of a hand pointing at a line on a paper document across an office desk, shallow focus, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
14	a quiet highway shoulder at sunrise, empty, guardrail leading into the distance, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
15	a Korean man in his early 30s, short black hair, clean-shaven, slim build standing beside his repaired car in a residential street, back to camera, morning light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
