01	Wide shot of a modern Korean gym interior with treadmills and weight racks, a front desk counter in the foreground, bright lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, in office wear standing at a gym front desk holding a membership contract paper, polite but tired expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, muscular gym owner in a black fitted t-shirt behind a gym front desk, arms crossed, smug dismissive expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	Close-up of a calculator showing zero on a gym front desk next to a printed contract with a highlighted clause, dramatic side lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, sitting at a cafe table searching on her laptop with a focused determined face, coffee cup beside, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of an official government document booklet with a blank cover on a wooden desk, a highlighter and reading glasses beside, warm lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of a hand writing a simple calculation on a notepad with a pen, a bank card and receipt next to it, clean desk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Stacks of Korean banknotes fanned out on a desk beside a calculator, bright clean light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a hand dropping a sealed white registered-mail envelope into a red Korean post box on a street, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Close-up of a smartphone screen showing a mobile banking deposit notification with a green checkmark icon, held in a woman's hand, bright background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, gym owner in a black t-shirt standing at the front desk looking flustered and defeated, rubbing his forehead, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, walking out of a gym entrance with a light smile, carrying a gym bag, sunny street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
