01	a sedan parked up on a city sidewalk directly in front of a small shop entrance, pedestrians stepping around it, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing in a small shop doorway looking out at the parked car with a troubled face, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing on a sidewalk beside his car with a dismissive irritated expression, midday, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	close-up of a car tire up on a curb blocking a narrow sidewalk, low angle, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	an empty city street with a parking enforcement vehicle far in the distance, hazy afternoon, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup holding up a smartphone to photograph a parked car on a sidewalk, seen from behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of a smartphone held in a hand showing a blurred photo app interface, street blurred behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	close-up of two identical camera angles concept: a hand holding a phone steady toward a parked car, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	close-up of a car rear bumper and plate area on a sidewalk, shallow focus, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a painted crosswalk and a yellow curb line on a Korean city street, wide shot, no cars, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a school zone road with red painted asphalt and a speed hump, daytime, no people, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build sitting in his car checking his phone with a shocked expression, parked on a street, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	close-up of a plain official notice envelope in a home mailbox, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
14	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing in her shop doorway with a calm satisfied expression, customers walking past freely, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
15	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup and a Korean man in his early 30s, short black hair, clean-shaven, slim build chatting outside a small shop on a clear sidewalk, golden hour, backs partly to camera, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
