01	a Korean school zone road painted bright red with a speed limit sign silhouette, morning, empty street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup looking at a smartphone screen with a puzzled frown, sitting in a cafe, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	close-up of a smartphone held in two hands in a dim room, screen glow on fingers, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a stack of printed government documents on a desk, official looking paper texture, no text visible, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean man in his early 30s, short black hair, clean-shaven, slim build shrugging with a confused expression at a desk, laptop open in front of him, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	exterior of a Korean government building with a flag pole, overcast daytime, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	a police press briefing room with empty chairs and a podium, soft indoor lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a person scrolling a smartphone in bed at night, only the screen lighting the face, blurred, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a narrow residential back alley in Korea with a red painted school zone surface, parked cars on the side, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	close-up of a circular speed limit road sign pole against a blue sky, blank white sign face, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	aerial view of a dense Korean residential neighborhood with narrow alleys and a school building, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his early 30s, short black hair, clean-shaven, slim build driving slowly through a narrow alley, hands at ten and two, looking carefully to the side, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	a child's backpack seen from behind as a small figure walks along a red school zone road, morning light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
