01	Low-angle shot of a Korean apartment living room ceiling at night with a dim lamp, a person's hands covering their ears in the foreground blurred, tense mood, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	Close-up of children's feet jumping on a hardwood apartment floor, toys scattered, night interior with warm lamp light, motion blur, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his early 30s, short black hair, clean-shaven, slim build, in pajamas with dark circles under his eyes, sitting up in bed at 2am looking at the ceiling, digital clock glowing, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, standing in her apartment doorway with arms crossed and an annoyed dismissive expression, hallway light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	Close-up of a professional sound level meter device on a tripod in an apartment living room, digital display glowing, technician's hand adjusting it, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of a sound level meter display showing a high reading in red, dark room background, dramatic lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Exterior of a Korean apartment building at 3am with only two windows lit on adjacent floors, dark blue night sky, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a Korean man in his early 30s, short black hair, clean-shaven, slim build, in a suit walking up the stone steps of a Korean courthouse holding a document folder, determined, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a wooden gavel resting on a judge's bench in a Korean courtroom, solemn lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Close-up of a single official document with a red seal stamp lying on a wooden table, a hand holding its corner, warm light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, sitting on her sofa reading a letter with a shocked pale face, hand over mouth, apartment living room, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his early 30s, short black hair, clean-shaven, slim build, sleeping peacefully in bed in a quiet dark apartment bedroom, soft moonlight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
