01	a Korean man in his early 30s, short black hair, clean-shaven, slim build driving and stopping at a crosswalk, view through the windshield, city street daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing at the edge of a sidewalk waiting to cross, holding a bag, sunny day, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a car overtaking another from the side lane near a crosswalk, motion blur, urban street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build shouting out of a car window with an angry face, daytime city street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	wide shot of a zebra crosswalk painted white on asphalt, empty, bright daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	close-up of a car brake pedal being pressed by a shoe inside a car footwell, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	a Korean man in his early 30s, short black hair, clean-shaven, slim build calm in the driver seat looking at the crosswalk, hands on wheel, sunlight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a car tire rolling over white crosswalk stripes, low angle close-up, motion, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a pedestrian's shoe stepping down from a curb onto asphalt, close-up, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	an empty courtroom bench and wooden desk in soft light, serious atmosphere, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a police patrol car parked on a Korean city street with lights off, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build sitting in a driver seat with a shocked pale face, hands off the wheel, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	close-up of an insurance document and a pen on a desk, blurred background, indoor light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
