01	A white sedan parked sideways directly in front of an apartment complex entrance gate barrier at night, blocking the driveway completely, hazard lights on, apartment towers behind, streetlight glow, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, seen from behind walking away from a white sedan she left in front of an apartment gate barrier at night, car keys in hand, indifferent posture, apartment towers behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	Morning traffic jam inside an underground apartment parking garage exit ramp, a long line of cars with brake lights on unable to leave, a delivery truck stuck behind them, frustrated drivers, fluorescent lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, standing with arms crossed and a smug defiant expression next to her white sedan blocking an apartment gate, security guard in the background looking helpless, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	Close-up of a blank yellow sticky note taped on the windshield of a white sedan, a hand in a security guard uniform sleeve placing it, apartment gate barrier blurred behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, wearing an apartment management office uniform shirt, sitting at a desk looking calmly at a wall calendar, small office with CCTV monitors, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Extreme close-up of a finger pointing at a single date circled in red marker on a paper wall calendar, calendar grid without any readable text or numbers, warm desk lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	A tow truck with amber warning lights flashing driving into an apartment complex entrance in the morning, a municipal enforcement officer in a vest standing beside, apartment towers behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a stack of blank official penalty notice envelopes and a calculator on an office desk, red stamp pad beside, dramatic side lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, in an apartment management uniform, holding up a smartphone to photograph a white sedan blocking the apartment gate barrier, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	A white sedan being lifted onto a tow truck bed in front of an apartment gate, tow chains taut, morning light, a few residents watching from a distance, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, standing shocked with mouth open in an empty spot in front of an apartment gate barrier where her car used to be, holding a blank envelope from a mailbox, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	Wide shot of a clear, open apartment complex entrance gate barrier raised, cars flowing out smoothly in the morning, apartment towers, bright sky, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
