01	A grand empty Korean wedding hall with white flower arch and rows of chairs, chandelier light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup and a Korean man in his early 30s, short black hair, clean-shaven, slim build as a couple at home holding a stack of wedding invitation cards, phone ringing on the table, worried faces, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build as a wedding hall manager in a suit at a front desk, shrugging with a dismissive smile, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup sitting at a kitchen table with her head in her hands next to a wedding planner notebook, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean man in his early 30s, short black hair, clean-shaven, slim build in a shirt reading a document on a laptop at night with a determined expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of a red circled date on a desk calendar page with a pen, warm light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of a printed contract with a highlighted clause and a calculator on a desk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Stacks of Korean banknotes on a desk next to a wedding ring box, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a hand dropping a white registered-mail envelope into a red Korean post box, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup in a white wedding dress and a Korean man in his early 30s, short black hair, clean-shaven, slim build in a tuxedo walking down a wedding hall aisle, guests applauding, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
