01	Two cars stopped bumper to bumper at an underground parking garage exit, tiny scuff on a rear bumper, hazard lights blinking, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	Dashcam point of view slowly approaching the rear of a white sedan at a parking garage exit barrier, very slow speed, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	Extreme close-up of a small faint scratch on a white car rear bumper, a hand pointing at it, parking garage, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup standing beside her car in a parking garage holding the back of her neck with both hands, exaggerated pained expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup lying in a hospital bed in a shared ward wearing a soft neck collar, scrolling a smartphone, relaxed, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of a desk telephone handset being lifted at a hospital administration counter, nurse station background blurred, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of a stack of insurance policy documents and a pen on a dark desk, dramatic low key lighting, no readable text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Close-up of a calculator and a hospital bill folder on a table, a hand pressing calculator keys, no readable text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup in a hospital ward sitting up in bed, shocked and angry, holding a phone to her ear, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Close-up of a card payment terminal on a hospital billing counter with a credit card being inserted, no readable text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup walking out of a hospital entrance in daylight carrying a small bag, neck collar removed and held in hand, sheepish look, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his early 30s, short black hair, clean-shaven, slim build driving carefully in a parking garage, both hands on the wheel, small dashcam on windshield, seen from passenger seat, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
