01	Dashcam point of view on a Korean highway at dusk, a dark SUV cutting in directly ahead with bright red brake lights glowing, very close distance, tense, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	Rear-view mirror view from inside a car on a highway at dusk, a car tailgating extremely close behind with blinding high beams on, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	Dashcam point of view, the SUV ahead braking hard on the highway, brake lights blazing, hood of own car very close to its bumper, motion blur, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build leaning out of a driver side car window on a highway shoulder, furious face, shouting and pointing, seen from the next car, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	Close-up of hands holding a smartphone in a parked car, uploading a dashcam video clip, small dashcam mounted on the windshield in background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Korean police officer in uniform seen from behind at a desk, reviewing dashcam footage of a highway on a large monitor in a police station office, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Close-up of a wooden judge gavel and a thick law book on a dark desk, dramatic low key lighting, moody, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Close-up of a hand placing a blank plastic driver license card on a police station counter next to an official document folder, no readable text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build sitting on a chair in a police station hallway, head in hands, flustered and regretful, fluorescent light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Close-up of a dashcam screen on a windshield showing a paused highway recording, car interior at night, glowing screen, no readable text, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing alone in an empty parking lot at dusk next to his parked SUV, staring down at car keys in his hand, defeated posture, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup driving calmly on a highway in daylight, both hands on the steering wheel, a small dashcam mounted on the windshield, seen from passenger seat, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
