01	a Korean man in his early 30s, short black hair, clean-shaven, slim build in a shirt staring at an empty bank balance on his smartphone at an office desk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	Close-up of a desk calendar with three months crossed out in red marker, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build as a company boss in a suit leaning back in an office chair with a dismissive wave, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a Korean man in his early 30s, short black hair, clean-shaven, slim build in a shirt sitting on a park bench at night looking exhausted, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean man in his early 30s, short black hair, clean-shaven, slim build at his desk looking calmly at a wall calendar, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Close-up of an open law book with a finger pointing at a highlighted line, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Korean banknotes stacked high on a desk next to a calculator, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Close-up of a man's hand typing a message on a smartphone, screen glowing, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a smartphone showing a big green checkmark icon in a man's hand, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build as a boss in a suit pacing anxiously on the phone in a glass office, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
