01	a clean modern silver compact sedan parked in a bright showroom, no badges, wide angle, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	close-up of a car price sticker holder on a showroom window, blank white paper, blurred sedan behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his early 30s, short black hair, clean-shaven, slim build in a suit standing beside a compact sedan in a showroom, thoughtful expression, arms crossed, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	a young Korean couple looking at a compact sedan in a dealership, serious expressions, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	close-up of a car steering wheel and dashboard interior, modern digital cluster, dark leather, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a larger midsize sedan and a compact sedan parked side by side in a showroom, comparison angle, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of an empty car dealership desk with a pen and folded brochure, soft window light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	close-up of a car interior showing a heated steering wheel and modern touchscreen, premium feel, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	close-up of LED headlight detail on a modern sedan, studio lighting, dark background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a corporate executive in a dark suit speaking at a podium, blurred background, press event lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	a row of identical new sedans parked in an outdoor storage lot, aerial view, overcast, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean man in his early 30s, short black hair, clean-shaven, slim build handing over a car key to a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup in a showroom, both smiling slightly, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	empty driver seat of a new car with plastic protective film still on, morning light through window, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
