01	Close-up of a smartphone screen held in a hand showing a delivery food photo with a small black bug on rice, blurred delivery bag on a desk behind, dim room, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean man in his early 30s, short black hair, clean-shaven, slim build, sitting on a messy studio apartment bed with a delivery food container, smirking while typing on his phone, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	A huge pile of empty plastic delivery food containers and plastic bags stacked on a small apartment kitchen counter, overwhelming amount, harsh fluorescent light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	FROG
05	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, wearing an apron in a small restaurant kitchen, exhausted, staring at a tablet order screen with a worried face, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, in a restaurant apron, holding a smartphone and calmly taking a screenshot, determined expression, kitchen counter behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	Two identical photos of the same small black bug on a white plate shown side by side on a laptop screen, a finger pointing at them, dim office desk, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Close-up of a police station interior desk with a blank report folder, a pen, and a police officer's uniform sleeve, harsh fluorescent light, serious mood, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	Close-up of a smartphone on a restaurant counter showing a long list of unread message notifications, the screen glowing in a dark kitchen, ominous mood, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	Empty Korean courtroom bench with a wooden gavel in the foreground and a judge's chair behind, solemn lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	FROG
12	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, in a restaurant apron, relieved and smiling while packing a delivery order in a bright clean kitchen, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
