01	Close-up of a Korean property registry document on a desk with one line highlighted in yellow, a magnifying glass beside, warm lamp light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, standing in an empty apartment living room with packed moving boxes, holding her phone to her ear with a worried face, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, wearing a polo shirt, leaning back in a real estate office chair with a dismissive shrug and smug expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	Close-up of a signed apartment sales contract with a calendar page showing a circled date next to it, a pen and house keys, anxious mood, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, sitting at a kitchen table late at night reading legal information on a laptop, focused, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	Exterior of a Korean district courthouse building entrance with stone columns in daytime, a woman walking in with a document folder seen from behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	A moving truck loaded with furniture and boxes parked in front of an apartment building, movers carrying a sofa, daytime, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	Extreme close-up of a red official stamp being pressed onto a property registry document, dramatic lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	A young Korean couple at a real estate office desk reading a registry document and frowning, shaking their heads, agent blurred behind, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build, in a polo shirt pacing in an office anxiously talking on his phone, sweating, stressed expression, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	Close-up of a smartphone showing a mobile banking large deposit notification with a green checkmark icon, held in a woman's hand, bright background, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup, smiling while unlocking the front door of her new apartment with keys, moving boxes beside, bright hallway, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
