01	a very large luxury electric SUV silhouette under dramatic spotlights on a dark stage, no badges, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	a massive luxury SUV parked in front of a neoclassical building at night, warm uplighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a grand neoclassical rotunda building lit at night beside a reflecting pond, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	an elegant international press event hall with rows of empty chairs facing a stage, moody lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing with arms crossed looking at a luxury SUV in a dark showroom, thoughtful, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	close-up of a luxury SUV side profile with both front and rear doors opened wide, no center pillar, studio light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	wide open coach doors of a luxury car revealing a spacious cream leather interior, studio lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a luxurious rear car seat rotated sideways facing inward, cream leather, ambient lighting, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	close-up of a warm wooden floor panel inside a luxury vehicle cabin, soft radiant glow, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	close-up of an elegant car cabin floor with soft ambient warm light, premium textile and wood, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	two large luxury SUVs side by side on a dark stage, dramatic rim lighting, no badges, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	a foreign journalist photographing a luxury SUV at a press event with a professional camera, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	a luxury SUV driving on a coastal highway at golden hour, sweeping wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
