01	a dark tinted sedan parked in a narrow alley at night, windows reflecting streetlight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
02	view from inside a heavily tinted car at night showing a very dark street ahead, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
03	a Korean man in his mid 30s, short wavy black hair, light stubble, sturdy build standing beside his tinted car with a defensive expression, night street, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
04	close-up of a car side window with dark film, reflection of streetlights, night, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
05	an empty alley at night with dim streetlights, wet asphalt, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
06	close-up of an open thick law book on a wooden desk with a pen resting on the page, warm reading lamp, shallow focus, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
07	close-up of a handheld light meter device pressed against a car window by a gloved hand, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
08	a car with clear front windshield parked in daylight, side view, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
09	close-up of a plain printed notice sheet on a desk beside a calculator, overhead light, top-down, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
10	a Korean woman in her early 30s, shoulder-length dark brown hair, natural light makeup crossing a narrow street at night seen from a car's perspective, headlights, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
11	close-up of a tint film roll and squeegee on a workbench, workshop light, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
12	two cars side by side in daylight, one with dark windows one with clear windows, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
13	an inspection station with officers checking a car window, daylight, wide shot, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
14	a Korean man in his early 30s, short black hair, clean-shaven, slim build sitting in a bright car interior looking out clearly, daylight, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
15	a quiet residential street at dusk with a parked sedan, no people, photorealistic DSLR photograph, 35mm lens, natural available light, shallow depth of field, Korean setting, no text no letters no signage no logos no brand marks no watermark
